HDI rank,Country,Value (2015),Rank (2015),"Maternal mortality ratio (deaths per 100,000 live births)","Adolescent birth rate (births per 1,000 women ages 15–19)",Share of seats in parliament (% held by women),% Female population with at least some secondary education,% Male population with at least some secondary education,Female Labour force participation rate,Male Labour force participation rate
74,Saint Kitts and Nevis,..,..,..,..,13.33,..,..,..,..
75,Albania,0.27,51.00,29.00,21.66,20.71,90.20,90.45,40.33,60.66
76,Lebanon,0.38,83.00,15.00,12.42,3.13,53.02,55.39,23.46,70.26
77,Mexico,0.35,73.00,38.00,62.83,40.58,56.06,59.04,45.38,79.50
78,Azerbaijan,0.33,68.00,25.00,59.78,16.94,93.85,97.52,61.86,68.32
79,Brazil,0.41,92.00,44.00,67.03,10.77,59.09,55.17,56.31,78.52
79,Grenada,..,..,27.00,30.53,25.00,..,..,..,..
81,Bosnia and Herzegovina,0.16,34.00,11.00,8.64,19.30,69.49,87.45,34.43,58.02
82,The former Yugoslav Republic of Macedonia,0.16,36.00,8.00,17.56,33.33,40.16,55.60,43.89,68.11
83,Algeria,0.43,94.00,140.00,10.63,25.74,34.14,35.73,16.82,70.44
84,Armenia,0.29,61.00,25.00,22.99,10.69,98.47,98.07,54.89,73.58
84,Ukraine,0.28,55.00,24.00,24.12,12.09,94.35,95.98,52.16,67.38
86,Jordan,0.48,111.00,58.00,23.20,11.56,78.45,82.74,14.24,64.36
87,Peru,0.39,86.00,68.00,49.06,22.31,56.20,66.96,65.73,82.61
87,Thailand,0.37,79.00,20.00,44.62,6.09,40.91,45.80,62.94,80.18
89,Ecuador,0.39,88.00,64.00,75.89,41.61,48.24,49.36,48.95,79.70
90,China,0.16,37.00,27.00,7.31,23.62,69.81,79.42,63.58,77.93
91,Fiji,0.36,75.00,30.00,44.81,16.00,73.88,66.48,37.03,71.29
92,Mongolia,0.28,53.00,44.00,15.67,14.47,89.67,85.83,56.47,68.79
92,Saint Lucia,0.35,74.00,48.00,53.91,20.69,48.24,41.99,63.05,76.48
94,Jamaica,0.42,93.00,89.00,59.67,16.67,67.07,59.38,57.67,72.20
