HDI rank,Country,Rank (2015),"Maternal mortality ratio (deaths per 100,000 live births)","Adolescent birth rate (births per 1,000 women ages 15-19)",Share of seats in parliament (% held by women),% Female population with at least some secondary education,% Male population with at least some secondary education,Female Labour force participation rate,Male Labour force participation rate
92,Mongolia,53,44,15.67,14.47,89.67,85.83,56.47,68.79
93,Saint Lucia,74,48,53.91,20.69,48.24,41.99,63.05,76.48
94,Jamaica,93,89,59.67,16.67,67.07,59.38,57.67,72.2
95,Colombia,89,64,50.18,20.9,50.27,59.6,57.92,79.81
96,Dominica,,,,21.88,,,,
97,Suriname,99,155,46.13,25.49,57.72,56.79,40.51,68.63
98,Tunisia,58,62,6.8,31.34,37.53,49.94,25.08,71.29
99,Dominican Republic,107,92,97.89,19.07,57.18,55.48,52.26,78.7
100,Saint Vincent and the Grenadines,,45,51.03,13.04,,,56.31,77.18
101,Tonga,152,124,15.15,0,91.25,91.11,52.78,74.05
102,Libya,38,9,6.19,15.96,65.65,44.22,27.83,78.75
103,Belize,81,28,65.9,13.33,77.89,77.35,56.28,83.64
104,Samoa,97,51,24.95,6.12,77.81,70.39,23.13,58.01
105,Maldives,64,68,6.75,5.88,34.3,30.87,57.29,78.83
106,Uzbekistan,57,36,17.71,16.4,99.86,99.92,48.34,76.17
107,Moldova (Republic of),46,23,22.63,21.78,95.21,97.31,38.76,45.63
108,Botswana,95,129,32.31,9.52,85.12,86.69,73.45,81.32
109,Gabon,127,291,99.95,15.98,62.3,45.94,39.89,57.53
110,Paraguay,104,132,57.42,16.8,46.23,47.05,58.07,84.56
111,Egypt,135,33,51.88,2.18,54.53,68.2,22.76,76.08
112,Turkmenistan,,42,16.37,25.81,,,47.25,77.55
113,Indonesia,105,126,49.63,17.12,42.93,51.74,50.88,83.85
114,"Palestine, State of",,45,58.62,,56.27,61.24,17.82,69.11
115,Viet Nam,71,54,38.63,24.3,63.97,76.72,73.78,83.16
116,Philippines,96,114,61.71,27.07,72.84,70.27,50.52,78.83
117,El Salvador,85,54,65.24,32.14,39.44,44.84,49.11,79.16
118,Bolivia (Plurinational State of),98,206,70.79,51.81,49.61,58.73,63.88,82.54
119,South Africa,90,138,45.51,41.19,73.7,76.23,46.22,60.22
120,Kyrgyzstan,90,76,39.6,19.17,100,99.93,49.4,77.05
121,Iraq,123,50,84.04,26.52,35.79,55.48,15.1,69.73
122,Cabo Verde,,42,73.41,20.83,,,53.18,84.15
123,Morocco,113,121,31.72,15.73,25.74,33.24,25.33,74.33
124,Nicaragua,103,150,88.84,41.3,45.73,44.06,49.13,80.35
125,Guatemala,113,88,80.75,13.92,37.38,36.24,41.25,83.59
126,Namibia,108,265,76.81,37.69,38.09,39.05,55.71,63.33
127,Guyana,117,229,88,30.43,68.14,53.24,41.79,77.18
128,Micronesia (Federated States of),,100,14.98,0,,,,
129,Tajikistan,65,32,38.07,14.74,98.05,88.24,59.45,77.51
130,Honduras,101,129,64.96,25.78,33.38,31.08,47.17,84.43
131,India,125,174,24.48,12.21,35.33,61.4,26.8,79.11
132,Bhutan,110,148,21.44,8.33,5.84,13.45,58.71,72.77
133,Timor-Leste,,215,46.6,38.46,,,26.77,55.52
134,Vanuatu,,78,43.09,0,,,61.64,80.52
135,Congo,141,442,117.68,11.54,44.98,49.95,67.06,72.62
136,Equatorial Guinea,,342,108.66,19.65,,,71.32,92.02
137,Kiribati,,90,17.17,8.7,,,,
138,Lao People's Democratic Republic,106,197,64.14,25,30.42,42.84,77.72,77.04
139,Bangladesh,119,176,83.02,20,42.01,44.26,43.13,80.98
140,Ghana,131,319,66.81,10.91,51.84,68.51,75.48,78.52
141,Zambia,124,224,90.44,12.66,52.33,48.87,69.82,80.89
142,Sao Tome and Principe,122,156,84.31,18.18,30.83,44.82,45.29,76.19
143,Cambodia,112,161,51.61,19.02,13.17,26.11,75.53,86.72
144,Nepal,115,258,71.91,29.55,24.1,41.24,79.66,86.77
145,Myanmar,80,178,16.48,13.03,27.15,20.01,75.13,81.06
146,Kenya,135,510,90.88,20.81,27.81,34.12,62.11,72.13
147,Pakistan,130,178,38.74,20.05,26.48,46.13,24.31,82.24
148,Swaziland,137,389,70.42,14.74,27.33,30.48,40.04,64.15
149,Syrian Arab Republic,133,68,39.45,12.4,34.78,43.41,12.17,70.85
150,Angola,,477,164.27,36.82,,,59.88,77.14
151,Tanzania (United Republic of),129,398,118.55,36,10.09,15.26,74.01,83.29
152,Nigeria,,814,110.6,5.77,,,48.41,63.99
